"indiv","sex","ars","f","smlh","pack","migrant","littersize","littersync","index","rain","rainsd","age","packsize","fhresid"
"BM653","M",0,0,0.967422900959614,"1B",TRUE,7,TRUE,0.666666666666667,12.5,13.4350288425444,1,19.5833333333333,-0.0768451154376147
"HF010","F",0,0,1.19115969872468,"1H",FALSE,10,TRUE,NA,44.1,43.9101355042318,1,13.5833333333333,0.146891682327444
"HF010","F",0,0,1.19115969872468,"1H",TRUE,10,TRUE,NA,47.38,49.4918882242333,2,14.8333333333334,0.146891682327443
"HF016","F",0,0,1.06651205261296,"1H",FALSE,13,TRUE,1,48.625,48.764558265785,1,13.5833333333333,0.0222440362157254
"HF016","F",0,0,1.06651205261296,"1H",TRUE,13,TRUE,1,65.7285714285714,64.3725799360182,2,16.0833333333334,0.0222440362157254
"HF016","F",4,0,1.06651205261296,"12",FALSE,13,TRUE,1,65.5666666666667,59.0187540815064,3,6,0.0222440362157254
"HF016","F",7,0,1.06651205261296,"12",FALSE,13,TRUE,1,61.6833333333333,44.661552172134,4,6.83333333333334,0.0222440362157254
"HF016","F",3,0,1.06651205261296,"15",TRUE,13,TRUE,1,69.2583333333333,47.4731590831423,5,8.38461538461539,0.0222440362157254
"HF016","F",4,0,1.06651205261296,"15",FALSE,13,TRUE,1,61.5916666666667,30.3403559136952,6,12.6666666666667,0.0222440362157254
"HF016","F",5,0,1.06651205261296,"15",FALSE,13,TRUE,1,59.3583333333333,37.0448734849392,7,14.3333333333333,0.0222440362157254
"HM032","M",0,0,0.796559426464589,"1H",TRUE,6,TRUE,0.3,0,0,1,15.3333333333333,-0.247708589932647
"HM038","M",0,0,1.09189639049762,"1H",TRUE,9,TRUE,NA,61.9,56.8397748060282,1,17.0833333333333,0.047628374100387
"HM038","M",0,0,1.09189639049762,"1H",FALSE,9,TRUE,NA,64.4833333333333,63.7339902654111,2,25.4166666666667,0.047628374100387
"HM038","M",0,0,1.09189639049762,"1H",FALSE,9,TRUE,NA,62.9333333333333,37.8100355445322,3,23,0.047628374100387
"HM038","M",0,0,1.09189639049762,"1H",FALSE,9,TRUE,NA,69.3,46.5877861481077,4,22.8333333333334,0.047628374100387
"HF039","F",1,0,1.06588536362293,"1H",FALSE,9,TRUE,NA,61.9,56.8397748060282,1,17.0833333333333,0.0216173472256952
"HF039","F",0,0,1.06588536362293,"1H",FALSE,9,TRUE,NA,64.4833333333333,63.7339902654111,2,25.4166666666667,0.0216173472256952
"HF039","F",4,0,1.06588536362293,"1H",FALSE,9,TRUE,NA,62.9333333333333,37.8100355445322,3,23,0.0216173472256952
"HF039","F",3,0,1.06588536362293,"1H",FALSE,9,TRUE,NA,69.3,46.5877861481077,4,22.8333333333334,0.0216173472256952
"HF039","F",6,0,1.06588536362293,"1H",FALSE,9,TRUE,NA,63.3583333333333,25.4390701064089,5,18.3846153846154,0.0216173472256952
"HF039","F",7,0,1.06588536362293,"1H",FALSE,9,TRUE,NA,59.7083333333333,39.2235888750943,6,14.4166666666667,0.0216173472256952
"HM041","M",3,0,1.09734327812492,"1H",TRUE,9,TRUE,NA,61.9,56.8397748060282,1,17.0833333333333,0.0530752617276852
"HM041","M",0,0,1.09734327812492,"1H",FALSE,9,TRUE,NA,64.4833333333333,63.7339902654111,2,25.4166666666667,0.0530752617276852
"HM041","M",0,0,1.09734327812492,"1H",FALSE,9,TRUE,NA,62.9333333333333,37.8100355445322,3,23,0.0530752617276852
"HM041","M",5,0,1.09734327812492,"1H",FALSE,9,TRUE,NA,69.3,46.5877861481077,4,22.8333333333334,0.0530752617276852
"FM048","M",0,0,0.77484929783786,"4B",TRUE,9,TRUE,NA,65.0333333333333,52.3205214967986,1,20.25,-0.269418718559375
"FM054","M",0,0,1.14152804461115,"4B",FALSE,9,TRUE,NA,65.0333333333333,52.3205214967986,1,20.25,0.0972600282139152
"FM054","M",0,0,1.14152804461115,"4B",FALSE,9,TRUE,NA,74.8583333333333,64.8657138504876,2,22.4615384615384,0.0972600282139152
"FM054","M",0,0,1.14152804461115,"4B",FALSE,9,TRUE,NA,64.7666666666667,43.0949550587438,3,23.9166666666667,0.0972600282139152
"FM054","M",2,0,1.14152804461115,"4B",FALSE,9,TRUE,NA,63.6166666666667,30.3887489147885,4,24.9166666666667,0.0972600282139152
"HF045","F",0,0,0.958435167345435,"1H",FALSE,5,TRUE,NA,68.2333333333333,57.5637564844934,1,21.3333333333333,-0.0858328490518007
"HM046","M",0,0,1.11800699588937,"1H",TRUE,5,TRUE,NA,68.2333333333333,57.5637564844934,1,21.3333333333333,0.0737389794921356
"HM046","M",0,0,1.11800699588937,"1H",FALSE,5,TRUE,NA,61.4,48.360427097896,2,25,0.0737389794921356
"HM047","M",0,0,1.10823601117133,"1H",TRUE,5,TRUE,NA,68.2333333333333,57.5637564844934,1,21.3333333333333,0.0639679947740929
