treatment,risk,replicate_id
Moderna,0.001,1
No_vaccine,0.0114,1
Moderna,0.001,2
No_vaccine,0.012066666666666667,2
Moderna,3.333333333333333e-4,3
No_vaccine,0.012133333333333333,3
Moderna,8e-4,4
No_vaccine,0.011,4
Moderna,8e-4,5
No_vaccine,0.012133333333333333,5
Moderna,6.666666666666666e-4,6
No_vaccine,0.0128,6
Moderna,0.001,7
No_vaccine,0.011466666666666667,7
Moderna,4e-4,8
No_vaccine,0.012066666666666667,8
Moderna,4e-4,9
No_vaccine,0.012533333333333334,9
Moderna,3.333333333333333e-4,10
No_vaccine,0.0128,10
Moderna,4e-4,11
No_vaccine,0.013666666666666667,11
Moderna,8.666666666666666e-4,12
No_vaccine,0.013066666666666667,12
Moderna,0.0010666666666666667,13
No_vaccine,0.0122,13
Moderna,8.666666666666666e-4,14
No_vaccine,0.0126,14
Moderna,8.666666666666666e-4,15
No_vaccine,0.011666666666666667,15
Moderna,5.333333333333334e-4,16
No_vaccine,0.011933333333333334,16
Moderna,0.0011333333333333334,17
No_vaccine,0.011866666666666666,17
Moderna,7.333333333333333e-4,18
No_vaccine,0.012333333333333333,18
Moderna,5.333333333333334e-4,19
No_vaccine,0.012333333333333333,19
Moderna,6.666666666666666e-4,20
No_vaccine,0.012266666666666667,20
Moderna,4.6666666666666666e-4,21
No_vaccine,0.012333333333333333,21
Moderna,0.0010666666666666667,22
No_vaccine,0.011933333333333334,22
Moderna,8e-4,23
No_vaccine,0.012666666666666666,23
Moderna,4.6666666666666666e-4,24
No_vaccine,0.011466666666666667,24
Moderna,6e-4,25
No_vaccine,0.011933333333333334,25
Moderna,8.666666666666666e-4,26
No_vaccine,0.0132,26
Moderna,0.0011333333333333334,27
No_vaccine,0.011533333333333333,27
Moderna,6e-4,28
No_vaccine,0.011733333333333333,28
Moderna,0.0013333333333333333,29
No_vaccine,0.0138,29
Moderna,8e-4,30
No_vaccine,0.013533333333333333,30
Moderna,0.0012666666666666666,31
No_vaccine,0.012733333333333333,31
Moderna,7.333333333333333e-4,32
No_vaccine,0.012133333333333333,32
Moderna,4.6666666666666666e-4,33
No_vaccine,0.0126,33
Moderna,4.6666666666666666e-4,34
No_vaccine,0.013466666666666667,34
Moderna,7.333333333333333e-4,35
No_vaccine,0.012133333333333333,35
Moderna,2.666666666666667e-4,36
No_vaccine,0.0118,36
Moderna,6.666666666666666e-4,37
No_vaccine,0.0128,37
Moderna,8e-4,38
No_vaccine,0.012066666666666667,38
Moderna,4e-4,39
No_vaccine,0.012533333333333334,39
Moderna,9.333333333333333e-4,40
No_vaccine,0.012266666666666667,40
Moderna,6.666666666666666e-4,41
No_vaccine,0.0126,41
Moderna,0.0011333333333333334,42
No_vaccine,0.013133333333333334,42
Moderna,0.0011333333333333334,43
No_vaccine,0.011933333333333334,43
Moderna,7.333333333333333e-4,44
No_vaccine,0.012466666666666666,44
Moderna,9.333333333333333e-4,45
No_vaccine,0.012466666666666666,45
Moderna,5.333333333333334e-4,46
No_vaccine,0.012666666666666666,46
Moderna,5.333333333333334e-4,47
No_vaccine,0.011733333333333333,47
Moderna,8e-4,48
No_vaccine,0.013,48
Moderna,5.333333333333334e-4,49
No_vaccine,0.0118,49
Moderna,6e-4,50
No_vaccine,0.013733333333333334,50
Moderna,4.6666666666666666e-4,51
No_vaccine,0.011933333333333334,51
Moderna,5.333333333333334e-4,52
No_vaccine,0.012933333333333333,52
Moderna,8.666666666666666e-4,53
No_vaccine,0.011666666666666667,53
Moderna,0.001,54
No_vaccine,0.012733333333333333,54
Moderna,5.333333333333334e-4,55
No_vaccine,0.012,55
Moderna,5.333333333333334e-4,56
No_vaccine,0.0126,56
Moderna,8e-4,57
No_vaccine,0.0118,57
Moderna,5.333333333333334e-4,58
No_vaccine,0.012866666666666667,58
Moderna,0.0010666666666666667,59
No_vaccine,0.013666666666666667,59
Moderna,7.333333333333333e-4,60
No_vaccine,0.012533333333333334,60
Moderna,6.666666666666666e-4,61
No_vaccine,0.0116,61
Moderna,6.666666666666666e-4,62
No_vaccine,0.011866666666666666,62
Moderna,3.333333333333333e-4,63
No_vaccine,0.013066666666666667,63
Moderna,8.666666666666666e-4,64
No_vaccine,0.012,64
Moderna,0.001,65
No_vaccine,0.013466666666666667,65
Moderna,9.333333333333333e-4,66
No_vaccine,0.012466666666666666,66
Moderna,6.666666666666666e-4,67
No_vaccine,0.013333333333333334,67
Moderna,5.333333333333334e-4,68
No_vaccine,0.0124,68
Moderna,4e-4,69
No_vaccine,0.012733333333333333,69
Moderna,0.001,70
No_vaccine,0.012666666666666666,70
Moderna,3.333333333333333e-4,71
No_vaccine,0.0132,71
Moderna,8.666666666666666e-4,72
No_vaccine,0.012533333333333334,72
Moderna,6e-4,73
No_vaccine,0.012666666666666666,73
Moderna,8e-4,74
No_vaccine,0.010933333333333333,74
Moderna,6e-4,75
No_vaccine,0.011933333333333334,75
Moderna,6.666666666666666e-4,76
No_vaccine,0.0114,76
Moderna,6.666666666666666e-4,77
No_vaccine,0.011933333333333334,77
Moderna,7.333333333333333e-4,78
No_vaccine,0.011066666666666667,78
Moderna,5.333333333333334e-4,79
No_vaccine,0.0122,79
Moderna,8e-4,80
No_vaccine,0.013333333333333334,80
