team,Seed,points_scored,win_or_loss,main_color,Mascot,mascot_type
stanford,1,87,W,red,cardinal,Person
Utah valley ,16,44,L,Green,Wolverines,Animal
Oklahoma state,8,84,W,orange,Pistol Pete ,Person
Wake Forest,9,61,L,gold,Demon deacon,Person
Missouri State,5,70,W,red,Bear,Animal
UC Davis,12,51,L,Blue,mustang,Animal
Arkansas ,4,62,L,red,Razorbacks,Animal
Wright State,13,66,W,Green,Raider,Person
Oregon,6,67,W,green,Duck,Animal
South Dakota,11,47,L,Red,Coyote,Animal
Georgia ,3,67,W,red,Bulldog,Animal
Drexel,14,53,L,Gold,Dragon,Other
Northwestern,7,62,W,Purple ,Wildcat,Animal
UCF,10,51,L,Gold ,Knight ,Person
Louisville,2,74,W,red,Cardinal,Animal
Marist,15,42,L,Red,Fox,Animal
South Carolina,1,79,W,red,Gamecock ,Animal
Mercer,16,53,L,orange,Bear,Animal
Oregon state,8,83,W,orange,Beaver,Animal
Florida state,9,59,L,maroon,Seminole,Person
Georgia tech,5,54,W,Gold ,Yellowjacket,Animal
Stephen F Austin State,12,52,L,purple,Lumberjack ,Person
West virginia,4,77,W,gold,Mountaineer,Person
Lehigh,13,53,L,brown,Hawk,Animal
Texas,6,81,W,orange,Longhorn (bull),Animal
Bradley,11,62,L,Red,Gargoyle,Other
UCLA,3,69,W,Gold,Bear,Animal
Wyoming,14,48,L,brown,Cowboy,person
Maryland,2,98,W,Red,Turtle,Animal
Mount St Mary’s,15,45,L,Blue,Mountaineer,Person
Texas AM,2,84,W,maroon,Dog,Animal
Troy,15,80,L,Red,Knight,Person
Iowa state,7,79,W,red,Cyclone,Other
Michigan state,10,75,L,green,Spartan,Person
Arizona,3,79,W,Red,Wildcat,Animal
Stony brook,14,44,L,Red,Seawolf ,Animal
BYU,11,69,W,blue,Cougar,Animal
Rutgers,6,66,L,red,Knight,Person
VCU,13,32,L,gold,Ram,Animal
Indiana,4,63,W,red,Person from Indiana (hoosier) ,Person
Belmont,12,64,W,blue,Bear,Animal
Gonzaga,5,59,L,blue,Bulldog,Animal
Washington State,9,53,L,red,Cougar,Animal
South florida,8,57,W,green,Bull,Animal
NC state,1,79,W,red,Wolfpack ,Animal
North Carolina AT,16,58,L,Gold,Bulldog,Animal
Jackson state,15,52,L,blue,Tiger,Animal
Baylor,1,101,W,green,Bear,Animal
Marquette ,10,63,L,gold,Hawk,Animal
Virginia Tech,7,70,W,Maroon ,Bird,Animal
Middle Tennesee,14,62,L,Blue,Horse,Animal
Tennesee,3,87,W,orange,Volunteers,Person
Florida gulf coast,11,66,L,Blue,Eagle,Animal
Michigan,6,87,W,blue,Wolverine,Animal
Idaho state ,13,63,L,orange,Tiger,Animal
Kentucky,4,71,W,Blue,Wildcats,Animal
Central michigan,12,72,L,Gold,Chippewa ,Person
Iowa,5,87,W,gold,Hawkeyes,Animal
South Dakota State,9,55,L,Blue,Jackrabbit ,Animal
Syracuse,8,72,W,orange,Orange,Other
High Point,16,59,L,Purple,Panther,Animal
Uconn,1,102,W,blue,Husky ,Animal
Alabama,7,80,W,Maroon,Elephant,Animal
North Carolina,10,71,L,Blue,Ram ,Animal
